raw_substance,confidence,reason
"0% Peanut Challenge Meal (PCM) base, granules for oral suspension",0.6,"This is a 0% peanut challenge placebo base (control meal without allergen), not an active substance."
"0,03 mg comprimidos recubiertos con película EFG",0.9,This is only dosage form/strength text ('0.03 mg coated tablets EFG') with no substance name given.
"0,2 mL, solution injectable en seringue pré-remplie",0.8,This is just dosage/formulation language (volume and dosage form) with no substance named.
"0,2 ml solución inyectable en jeringa precargada",0.85,This is only a dosage form description (solution for injection in pre-filled syringe) with no substance named.
"0,25 g polvere per soluzione per infusione",0.85,"This is dosage form/strength language ('powder for solution for infusion'), not a substance name."
"0,3 mL, solution injectable en seringue préremplie",0.85,"This is just dosage form/strength language (solution for injection in prefilled syringe), no substance named."
"0,4 mL solução injetável em seringa pré-cheia",0.9,"This is only dosage form/volume description (solution for injection in pre-filled syringe), not a substance name."
"0,4 mg hårda kapslar",0.8,This is only a dosage form/strength description ('0.4 mg hard capsules') with no substance name given.
"0,4 ml Injektionslösung in einer Fertigspritze",0.85,This is just dosage form/formulation text ('0.4 ml injection solution in a pre-filled syringe') with no substance name specified.
"0,4 ml solución inyectable en jeringa precargada",0.85,"This string only describes dosage form and volume ('0.4 ml solution for injection in pre-filled syringe'), with no substance name given."
"0,4 ml solución inyectable en jeringas precargadas",0.85,This is a dosage form/pack description (volume and injection form) with no substance named.
"0,4 ml, collyre en récipient unidose",0.85,"This describes only a dosage form/packaging (eye drops, unidose container), not a substance name."
"0,4 ml, solution injectable (S.C.) en seringue pré-remplie",0.85,"This is dosage form/route/pack description only, no substance named."
"0,45 ml solución inyectable en jeringas precargadas",0.9,"This is just a dosage form/volume description (pre-filled syringe solution), not a substance name."
"0,5 g polvere per soluzione per infusione",0.75,This is a dosage form/strength description ('powder for solution for infusion') without naming any substance.
"0,5 ml oplossing voor injectie in voorgevulde spuit",0.9,"This is dosage form language ('solution for injection in pre-filled syringe'), not a substance name."
"0,5 ml solución inyectable en jeringa precargada EFG",0.85,This is just a dosage form description ('0.5 ml injectable solution in pre-filled syringe EFG') with no substance name.
"0,5mL PF.SYR. Ενέσιμο διάλυμα",0.9,"This is just dosage form/pack description (prefilled syringe, injectable solution) with no substance named."
"0,6 mL, solution injectable en seringue préremplie",0.8,"This is dosage/formulation language only, no substance named."
"0,6 ml solución inyectable en jeringa precargada",0.85,This is just a dosage form/volume description ('0.6 ml solution for injection in pre-filled syringe') with no substance name given.
"0,7mL PF.SYR. Ενέσιμο διάλυμα",0.85,"This is just dosage form/pack description in Greek (pre-filled syringe, injectable solution), no substance named."
"0,8 ml solución inyectable en jeringa precargada",0.85,"This is just dosage form/volume language (solution for injection in prefilled syringe), no substance named."
"0,9mL PF.SYR. Ενέσιμο διάλυμα",0.8,"This is dosage/formulation text (pre-filled syringe volume, injectable solution in Greek), not a substance name."
0.125 mL solution for injection in pre-filled pen,0.9,"This is a dosage/formulation description only, no substance named."
0.25 mL solution for injection in pre-filled pen,0.9,"This string only describes dosage form and volume, not a substance."
0.36 mL solution for injection in a pre-filled pen,0.9,"This is dosage form/volume description only, no substance named."
0.375 mL solution for injection in pre-filled pen,0.9,"Only dosage form/volume description, no substance named."
0.45 mL solution for injection in pre-filled pen.,0.85,"This is a dosage form/device description only, no substance named."
0.5 mg sublingual tablets,0.7,"This is dosage form/strength language only, not a substance name."
0.5 ml concentrate and solvent for solution for infusion,0.95,This is a dosage form description with no substance name.
0.50 mL solution for injection in pre-filled pen,0.9,"This string only describes a dosage form (solution for injection in pre-filled pen), not a substance."
0.56 mL solution for injection in pre-filled pen,0.85,This is just a dosage form/volume description with no substance name specified.
0.56 mL solution for injection in pre‑filled pen,0.85,"This string is just a dosage form/device description (pre-filled pen volume), not a substance name."
0.5ml solution for injection in pre-filled pen.,0.9,"Dosage form description only, no substance named"
0.5 mL solution for injection in pre-filled pen,0.9,"This is only a dosage form/pack description, not a substance name."
0.75 mL powder and solvent for solution for injection,0.9,"This is only a dosage form description, not a substance name."
0.8 mL Solution for injection in pre-filled syringe with needle safety device,0.85,"This is dosage form/device language only, not a substance name."
0.9% Sodium Chlorine (no active substance),0.9,"Labeled 'no active substance' - saline used as vehicle/placebo, not an active substance."
0.98 mL solution for injection in pre‑filled pen,0.9,This is just a dosage form/device description with no substance named.
"1 mL, poudre et solvant pour solution injectable",0.9,"This is just dosage form description (powder and solvent for injectable solution), not a substance name."
1 ml Injektionssuspension,0.9,"This is just a dosage form description (injection suspension volume), not a substance name."
1 ml injekční roztok v předplněné injekční stříkačce,0.85,This string is only dosage form/pack description ('1 ml solution for injection in pre-filled syringe') with no substance name mentioned.
1 ml solución inyectable en jeringa precargada,0.9,"This is only dosage form/pack description ('1 ml solution for injection in pre-filled syringe'), no substance named."
"1 ml, solution injectable en seringue pré-remplie",0.85,"This is dosage form/packaging language only, not a substance name."
"1 ml, solution injectable en seringue préremplie",0.85,"This is only dosage form/pack description (solution for injection in prefilled syringe), no substance named."
"1,5 ml Injektionslösung in einem Fertigpen",0.85,"This string is only dosage form/device language (injection solution in a pre-filled pen), not naming any substance."
1.000.000 U,0.85,"'1.000.000 U' is a dosage/unit strength expression (likely units of a drug), not a substance name itself."
1.08 mL solution for injection in a pre-filled pen,0.85,"This string is only a dosage form/device description (pre-filled pen volume), not a substance name."
1.4 mL solution for injection in pre‑filled pen,0.9,"This string only describes dosage form and device (pre-filled pen), not naming any substance."
1.44 mL solution for injection in pre-filled pen,0.9,"This is only a dosage form/pack description, no substance named."
1.5 mL solution for injection in pre-filled pen,0.9,"This is only dosage form/device description, not a substance name."
1.5 ml solution for injection in cartridge,0.9,"This is dosage form/pack description only, not a substance name."
10 mL solution for injection in multidose container,0.95,"This is dosage form/quantity language, not a substance name."
"10 mL, poudre et solvant pour solution injectable",0.9,"This is dosage form/formulation language only, no substance named."
10 mg comprimidos recubiertos con película,0.95,"This is just dosage form/strength language ('10 mg film-coated tablets'), not a substance name."
10 mg filmsko obložene tablete,0.9,"This string is just dosage form/strength language ('10 mg film-coated tablets'), not a substance name."
10 mg tablete,0.9,"This is only a dosage form/strength description ('10 mg tablets'), not a substance name."
10 mg tabletta,0.85,"'10 mg tabletta' is just dosage/form language (tablet, 10mg) with no substance name specified."
10 ml Polvere e Solvente per Soluzione Iniettabile,0.9,"This is just dosage form language (powder and solvent for solution for injection), not a substance name."
10 ml solvent pentru uz parenteral,0.9,"This is just a solvent for parenteral use, not an active substance."
"10 ml, poudre et solvant pour solution injectable (IV)",0.9,"This is only dosage form/pack description, no substance named"
100 ml Flüssigkeit,0.85,"'100 ml Flüssigkeit' just means '100 ml liquid' - a dosage/volume description, not a substance name."
"100 ml infusionsvätska, lösning",0.9,"This is dosage form language only ('infusion solution, 100 mL'), not a substance name."
103 mg comprimidos recubiertos con película,0.9,"This string only describes dosage form and strength (film-coated tablets, 103 mg) with no substance name."
10mL Soluzione Iniettabile,0.85,"This is dosage form/formulation language only ('10mL Injectable Solution'), not a substance name."
"10ml, poudre et solvant pour solution injectable",0.9,"This is dosage form description only, no substance named."
125 mg filmdragerade tabletter,0.9,"This string only describes dosage form and strength ('125 mg film-coated tablets' in Swedish), with no substance name."
"125 mg tabletti, kalvopäällysteinen",0.85,"This is only a dosage form description (film-coated tablet, 125 mg) in Finnish, with no substance name given."
"125 microgram per metered dose pressurised inhalation, suspension.",0.85,"This describes only a dosage form and strength for an inhaler, with no substance name given."
