raw_substance,block_id,n_trials,block_size
"ml neusspray, oplossing",sblk_00001,7,2
Diluyente. Solucin salina Fenolada Glicerinada,sblk_00002,5,3
"infuusioneste, liuos",sblk_00003,4,4
ml Pricktestlösung,sblk_00004,4,2
"0,4 ml solution injectable en seringue préremplie",sblk_00005,3,6
"0,45 ml, solution injectable en seringue préremplie",sblk_00005,3,6
1.1-70 × 106 cells,sblk_00006,3,3
125 mg comprimidos recubiertos con película EFG,sblk_00007,3,5
"2,5 ml, solution pour inhalation par nébuliseur",sblk_00008,3,3
24 uur,sblk_00009,3,3
Prick Test LETI Negativkontrolle Pricktestlösung,sblk_00004,3,2
dose KwikPen solution for injection in pre-filled pen,sblk_00010,3,5
"0,4 ml, solution injectable en seringue préremplie",sblk_00005,2,6
"0,5 ml, solution injectable en seringue préremplie",sblk_00005,2,6
125 mg Filmtabletten,sblk_00011,2,2
2 ml soluție injectabilă,sblk_00012,2,2
"2,5 mg cápsulas duras.",sblk_00013,2,4
200 mg polvo para solución inyectable y para perfusión EFG,sblk_00007,2,5
Diluyente. Solucin salina fenolada glicerinada,sblk_00002,2,3
HAEMOPHILUS INFLUENZAE,sblk_00014,2,2
Unavailable,sblk_00015,2,2
infusie of rectale toediening,sblk_00016,2,2
"ml 54 mg, Pulver und Lösungsmittel zur Herstellung einer Suspension",sblk_00017,2,2
"ml infuusioneste, liuos",sblk_00003,2,4
ml šķīdums injekcijām,sblk_00018,2,2
"ml, sirop",sblk_00019,2,2
"0,15 mg Filmtabletten",sblk_00011,1,2
"0,25 g infuusiokuiva-aine, liuosta varten",sblk_00020,1,2
"0,5 g infuusiokuiva-aine, liuosta varten",sblk_00020,1,2
"0,5 g polvo para solución para perfusión EFG",sblk_00007,1,5
"0,5 mg filmdragerade tabletter",sblk_00021,1,2
"0,6 ml, solution injectable (S.C.) en seringue pré-remplie",sblk_00005,1,6
"0,75 ml, solution injectable en seringue pré-remplie",sblk_00005,1,6
"10 Solution.
•	Pharmaceutical form: solution (oil)
•	Route of administration: oral
•	Storage: Store tightly closed below 25°C and protected from light like the verum form.
•	Country of origin: Italy.",sblk_00022,1,3
10 mg cápsulas duras,sblk_00013,1,4
10 mg cápsulas duras de liberación modificada,sblk_00013,1,4
10 mg cápsulas duras.,sblk_00013,1,4
150 mg comprimidos recubiertos con película,sblk_00007,1,5
"2,5 microgramos, solución para inhalación",sblk_00023,1,4
"2,5 ml, solution pour inhalation par nébuliseur en récipient unidose",sblk_00008,1,3
