raw_substance,entity_id,confidence,channel,reason,decided_by,decided_at_utc,model_id,prompt_version
"""DROP-it"" ögondroppar 5 ml Physiologic saline 0,9 % natriumklorid i 100 ml renat vatten",ent_014448,0.95,token_idf,Physiologic saline 0.9% sodium chloride is the active substance sodium chloride.,model,2026-08-18T09:19:03Z,claude-sonnet-5,substance-assign-v2
"""MYK-461 Capsules, Placebo is a solid oral dosage form in size 2 gelatin capsules each containing 120 mg of an 
excipient blend. It is intended as a placebo to match MYK-461 Capsules of all active strengths""",ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
"""Placebo to Match Mitapivat Tablets, 5 mg and 20 mg, are supplied as film-coated, blue, round 
tablets for oral administration 
Placebo to Match Mitapivat Tablets, 50 mg or 100 mg, are supplied as film-coated, blue, oblong 
tablets for oral administration.
Placebo to Match Mitapivat Granules, 1 mg, are supplied as film-coated, white, round granules 
for oral administration""",ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
"""myk-461 capsules, placebo is a solid oral dosage form in size 2 gelatin capsules each containing 120 mg of an excipient blend. it is intended as a placebo to match myk-461 capsules of all active strengths""",ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
(+)-α-DIHYDROTETRABENAZINE,ent_018493,0.8,mint,"Active metabolite of tetrabenazine, (+)-alpha-dihydrotetrabenazine",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
(18F) GTP1,ent_018808,0.7,mint,"18F-GTP1 is a PET tracer targeting tau protein, used in radiopharmaceutical imaging trials.",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
(89Zr)Zr-Atezolizumab,ent_004558,0.75,token_idf,"Both refer to zirconium-89 labeled atezolizumab conjugate (DFO-atezolizumab Zr-89), a radiolabeled form of the same antibody.",model,2026-08-18T09:19:12Z,claude-sonnet-5,substance-assign-v2
+ and CD19+ cells using the CliniMACS TCR,ent_020792,0.6,mint,CliniMACS TCR/CD19 depletion product,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
+ isomer of racemic mefloquine,ent_009652,0.6,token_idf,"The (+) isomer is an enantiomer of mefloquine, matching to the parent INN mefloquine.",model,2026-08-18T09:19:08Z,claude-sonnet-5,substance-assign-v2
+ isomer or racemic mefloquine,ent_009652,0.9,token_idf,Mefloquine isomer/racemic refers to the parent INN mefloquine.,model,2026-08-18T09:19:05Z,claude-sonnet-5,substance-assign-v2
"+-4-S-1-2,3-Dimethyl-phenyl-ethyl-1,3-dihydro-imidazole-2-thione",ent_001266,0.4,token_idf,"Structure resembles atipamezole's 2,3-dimethylphenyl-ethyl-imidazole core, though this is a thione derivative.",model,2026-08-18T09:19:11Z,claude-sonnet-5,substance-assign-v2
"+-S,S-Reboxetine",ent_005788,0.85,exact,"S,S-Reboxetine is the enantiomer known as esreboxetine.",model,2026-08-18T09:19:05Z,claude-sonnet-5,substance-assign-v2
"+-S,S-Reboxetine Succinate",ent_005788,0.85,token_idf,"S,S-reboxetine is the single-enantiomer form known as esreboxetine; succinate is its salt.",model,2026-08-18T09:19:16Z,claude-sonnet-5,substance-assign-v2
"+-S,S-Reboxetine succinate",ent_013346,0.75,token_idf,"S,S-Reboxetine succinate is a salt form of reboxetine (the racemic/SS isomer), matching to parent INN Reboxetine.",model,2026-08-18T09:19:11Z,claude-sonnet-5,substance-assign-v2
"-      AdV, CMV, EBV, BKV  Aspergillus fumigatus",ent_017724,0.6,mint,"Both describe allogeneic virus-specific (and possibly fungus-specific) T cell therapy products targeting AdV, CMV, EBV (and BKV/Aspergillus in one).",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
--3-4-Aminophenyl-2-methoxypropionic acid,ent_017354,0.7,mint,"Both entries refer to same chemical name, one specifying S-enantiomer; grouped as one substance.",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
--Gossypol G-,ent_007179,0.8,token_idf,"'Gossypol G-' refers to gossypol, matching entry 1 (parent compound rather than the acetic acid salt).",model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
--OSU6162,ent_019949,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
--epigallocatechinegallate,ent_005632,0.95,ngram,"Same compound (EGCG), minor spelling variant.",model,2026-08-18T09:19:14Z,claude-sonnet-5,substance-assign-v2
"--trans-3-5,6-dihydro-4H-pyrrolo 3,2,1-ij quinolin-1-yl-41H-indol-3-ylpyrrolidine-2,5-dione",ent_018491,0.6,mint,Same chemical name with minor formatting/spelling variations across all entries,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"--trans-3-5,6-dihydro-4H-pyrrolo 3,2,1-ij quinolin-1yl-41H-indo-3-yl pyrrolidine-2, 5-dione",ent_018491,0.6,mint,Same chemical name with minor formatting/spelling variations across all entries,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
